param_1,param_2,model_name,x_travel,y_travel,z_travel
milling,Drill Tap Machining Centers,SPARK,300,250,250
milling,Drill Tap Machining Centers,SPARK XL,400,300,250
milling,Drill Tap Machining Centers,DTC-400,500,400,320
milling,Drill Tap Machining Centers,DTC-400 XL,500,400,320
milling,Drill Tap Machining Centers,DTC-400L XL,700,400,320
milling,Drill Tap Machining Centers,DTC-500L XL,1000,400,320
milling,Drill Tap Machining Centers,TCV-540,500,400,320
milling,Vertical Machining Centers,Small-430 V,400,300,400
milling,Vertical Machining Centers,Small-MCV-300,400,350,320
milling,Vertical Machining Centers,Small-MCV-350,400,350,480
milling,Vertical Machining Centers,Small-SUPER WINNER,500,400,500
milling,Vertical Machining Centers,Medium-MCV-400,600,450,500
milling,Vertical Machining Centers,Medium-MCV-400F,600,450,500
milling,Vertical Machining Centers,Medium-MCV-400 XL,600,450,500
milling,Vertical Machining Centers,Medium-MCV-450,800,450,500
milling,Vertical Machining Centers,Medium-MCV-450 XL,800,450,500
milling,Vertical Machining Centers,Medium-ACER,800,510,500
milling,Vertical Machining Centers,Medium-ACER XL,800,510,500
milling,Vertical Machining Centers,Large-MCV-550L,1000,550,550
milling,Vertical Machining Centers,Large-MCV-650,1020,650,600
milling,Vertical Machining Centers,Large-MCV-700,1500,700,700
milling,Vertical Machining Centers,Large-MCV-700N,1250,700,600
milling,Vertical Machining Centers,Large-MCV-700N L,1500,700,600
milling,Vertical Machining Centers,Large-MCV-800,2000,810,810
milling,Vertical Machining Centers,V Series-540V,500,400,450
milling,Vertical Machining Centers,V Series-730V,750,300,400
milling,Vertical Machining Centers,V Series-740V,700,400,460
milling,Vertical Machining Centers,V Series-740V DM,760,425,470
milling,Vertical Machining Centers,V Series-850V,800,510,500
milling,Vertical Machining Centers,V Series-1060V,1000,600,600
milling,Vertical Machining Centers,V Series-1260V,1250,600,600
milling,Vertical Machining Centers,V Series-1580V,1500,800,600
milling,Vertical Machining Centers,V Series-1690V,1630,910,810
milling,Vertical Machining Centers,Heavy Duty-ACER-50,800,510,500
milling,Vertical Machining Centers,Heavy Duty-MCV-550L-50,1000,550,550
milling,Vertical Machining Centers,Heavy Duty-MCV-650-50,1020,650,600
milling,Vertical Machining Centers,Heavy Duty-MCV-700N-50,1250,700,600
milling,Vertical Machining Centers,Heavy Duty-MCV-700N L-50,1500,700,600
milling,Vertical Machining Centers,Heavy Duty-MCV-700-50,1500,700,700
milling,Vertical Machining Centers,Heavy Duty-MCV-800-50,2000,810,810
milling,Twin Spindle VMC,Gemini Mini S,400,400,500
milling,Twin Spindle VMC,Gemini Mini L,600,450,500
milling,Twin Spindle VMC,Gemini Jr.,500,450,600
milling,Twin Spindle VMC,Gemini Jr. XL,500,450,600
milling,Twin Spindle VMC,CMV-350 TS,400,400,515
milling,Twin Spindle VMC,Gemini XL,600,450,600
milling,Twin Spindle VMC,Gemini 460 XL,,,
milling,Twin Spindle VMC,Gemini Max,750,500,600
milling,5 Axes VMC,GV-60-5C,650,600,500
milling,Special VMC,DM-800,1000,800,500
milling,Special VMC,LEADER-400XL,600,450,500
milling,Double Column,DC-2512,2700,1450,800 / 1000
milling,Double Column,DC-2516,2700,1700,800 / 1000
milling,Double Column,DC-3016,3200,1700,800 / 1000
milling,Double Column,DC-3020,3200,2200,800 / 1000
milling,Double Column,DC-4020,4200,2200,1000
milling,Horizontal Machining Centers,PROTON,500,400,400
milling,Horizontal Machining Centers,HMC-400XL,600,500,500
milling,Horizontal Machining Centers,CMH-400,600,500,500
milling,Horizontal Machining Centers,CMH-400 XL,600,500,500
milling,Horizontal Machining Centers,CMH-500,800,600,600
milling,Horizontal Machining Centers,CMH-500-50,800,600,600
milling,Horizontal Machining Centers,CMH-500 XL,800,600,600
milling,Horizontal Machining Centers,CMH-500 XL-50,800,600,600
milling,Horizontal Machining Centers,MCH-400 XL,610,610,650
milling,Horizontal Machining Centers,MCH-500L,800,800,800
milling,Horizontal Machining Centers,MCH-500L-50,800,780,800
milling,Horizontal Machining Centers,MCH-630,1000,900,910
milling,Horizontal Machining Centers,MCH-800,1500,1200,1300
